01-01-001-01-01-01,10000
01-01-001-01-01-02,10001
01-01-001-01-01-03,10002
01-01-001-01-01-04,10003
01-01-001-01-01-05,10004
01-01-001-01-01-06,10005
01-01-001-01-01-07,10006
01-01-001-01-01-08,10007
01-01-001-01-01-09,10008
01-01-001-01-01-10,10009
01-01-001-01-01-11,1000a
01-01-001-01-01-12,1000b
01-01-001-01-01-13,1000c
01-01-001-01-01-14,1000d
01-01-001-01-01-15,1000e
01-01-001-01-01-16,1000f
01-01-001-01-02-01,10010
01-01-001-01-02-02,10011
01-01-001-01-02-03,10012
01-01-001-01-02-04,10013
01-01-001-01-02-05,10014
01-01-001-01-02-06,10015
01-01-001-01-02-07,10016
01-01-001-01-02-08,10017
01-01-001-01-02-09,10018
01-01-001-01-02-10,10019
01-01-001-01-02-11,1001a
01-01-001-01-02-12,1001b
01-01-001-01-02-13,1001c
01-01-001-01-02-14,1001d
01-01-001-01-02-15,1001e
01-01-001-01-02-16,1001f
01-01-001-01-03-01,10020
01-01-001-01-03-02,10021
01-01-001-01-03-03,10022
01-01-001-01-03-04,10023
01-01-001-01-03-05,10024
01-01-001-01-03-06,10025
01-01-001-01-03-07,10026
01-01-001-01-03-08,10027
01-01-001-01-03-09,10028
01-01-001-01-03-10,10029
01-01-001-01-03-11,1002a
01-01-001-01-03-12,1002b
01-01-001-01-03-13,1002c
01-01-001-01-03-14,1002d
01-01-001-01-03-15,1002e
01-01-001-01-03-16,1002f
01-01-001-01-04-01,10030
01-01-001-01-04-02,10031
01-01-001-01-04-03,10032
01-01-001-01-04-04,10033
01-01-001-01-04-05,10034
01-01-001-01-04-06,10035
01-01-001-01-04-07,10036
01-01-001-01-04-08,10037
01-01-001-01-04-09,10038
01-01-001-01-04-10,10039
01-01-001-01-04-11,1003a
01-01-001-01-04-12,1003b
01-01-001-01-04-13,1003c
01-01-001-01-04-14,1003d
01-01-001-01-04-15,1003e
01-01-001-01-04-16,1003f
01-01-001-01-05-01,10040
01-01-001-01-05-02,10041
01-01-001-01-05-03,10042
01-01-001-01-05-04,10043
01-01-001-01-05-05,10044
01-01-001-01-05-06,10045
01-01-001-01-05-07,10046
01-01-001-01-05-08,10047
01-01-001-01-05-09,10048
01-01-001-01-05-10,10049
01-01-001-01-05-11,1004a
01-01-001-01-05-12,1004b
01-01-001-01-05-13,1004c
01-01-001-01-05-14,1004d
01-01-001-01-05-15,1004e
01-01-001-01-05-16,1004f
01-01-001-01-06-01,10050
01-01-001-01-06-02,10051
01-01-001-01-06-03,10052
01-01-001-01-06-04,10053
01-01-001-01-06-05,10054
01-01-001-01-06-06,10055
01-01-001-01-06-07,10056
01-01-001-01-06-08,10057
01-01-001-01-06-09,10058
01-01-001-01-06-10,10059
01-01-001-01-06-11,1005a
01-01-001-01-06-12,1005b
01-01-001-01-06-13,1005c
01-01-001-01-06-14,1005d
01-01-001-01-06-15,1005e
01-01-001-01-06-16,1005f
01-01-002-01-01-01,10100
01-01-002-01-01-02,10101
01-01-002-01-01-03,10102
01-01-002-01-01-04,10103
01-01-002-01-01-05,10104
01-01-002-01-01-06,10105
01-01-002-01-01-07,10106
01-01-002-01-01-08,10107
01-01-002-01-01-09,10108
01-01-002-01-01-10,10109
01-01-002-01-01-11,1010a
01-01-002-01-01-12,1010b
01-01-002-01-01-13,1010c
01-01-002-01-01-14,1010d
01-01-002-01-01-15,1010e
01-01-002-01-01-16,1010f
01-01-002-01-02-01,10110
01-01-002-01-02-02,10111
01-01-002-01-02-03,10112
01-01-002-01-02-04,10113
01-01-002-01-02-05,10114
01-01-002-01-02-06,10115
01-01-002-01-02-07,10116
01-01-002-01-02-08,10117
01-01-002-01-02-09,10118
01-01-002-01-02-10,10119
01-01-002-01-02-11,1011a
01-01-002-01-02-12,1011b
01-01-002-01-02-13,1011c
01-01-002-01-02-14,1011d
01-01-002-01-02-15,1011e
01-01-002-01-02-16,1011f
01-01-002-01-03-01,10120
01-01-002-01-03-02,10121
01-01-002-01-03-03,10122
01-01-002-01-03-04,10123
01-01-002-01-03-05,10124
01-01-002-01-03-06,10125
01-01-002-01-03-07,10126
01-01-002-01-03-08,10127
01-01-002-01-03-09,10128
01-01-002-01-03-10,10129
01-01-002-01-03-11,1012a
01-01-002-01-03-12,1012b
01-01-002-01-03-13,1012c
01-01-002-01-03-14,1012d
01-01-002-01-03-15,1012e
01-01-002-01-03-16,1012f
01-01-002-01-04-01,10130
01-01-002-01-04-02,10131
01-01-002-01-04-03,10132
01-01-002-01-04-04,10133
01-01-002-01-04-05,10134
01-01-002-01-04-06,10135
01-01-002-01-04-07,10136
01-01-002-01-04-08,10137
01-01-002-01-04-09,10138
01-01-002-01-04-10,10139
01-01-002-01-04-11,1013a
01-01-002-01-04-12,1013b
01-01-002-01-04-13,1013c
01-01-002-01-04-14,1013d
01-01-002-01-04-15,1013e
01-01-002-01-04-16,1013f
01-01-002-01-05-01,10140
01-01-002-01-05-02,10141
01-01-002-01-05-03,10142
01-01-002-01-05-04,10143
01-01-002-01-05-05,10144
01-01-002-01-05-06,10145
01-01-002-01-05-07,10146
01-01-002-01-05-08,10147
01-01-002-01-05-09,10148
01-01-002-01-05-10,10149
01-01-002-01-05-11,1014a
01-01-002-01-05-12,1014b
01-01-002-01-05-13,1014c
01-01-002-01-05-14,1014d
01-01-002-01-05-15,1014e
01-01-002-01-05-16,1014f
01-01-002-01-06-01,10150
01-01-002-01-06-02,10151
01-01-002-01-06-03,10152
01-01-002-01-06-04,10153
01-01-002-01-06-05,10154
01-01-002-01-06-06,10155
01-01-002-01-06-07,10156
01-01-002-01-06-08,10157
01-01-002-01-06-09,10158
01-01-002-01-06-10,10159
01-01-002-01-06-11,1015a
01-01-002-01-06-12,1015b
01-01-002-01-06-13,1015c
01-01-002-01-06-14,1015d
